,price lacteo mercadona,price lacteo dia,price carnico mercadona,price carnico dia,price huevo mercadona,price huevo dia,price lenteja mercadona,price lenteja dia,price avena mercadona,price avena dia,price miel mercadona,price miel dia,price aceite girasol mercadona,price aceite girasol dia,price tomate mercadona,price tomate dia,price banana mercadona,price banana dia,price cafe mercadona,price cafe dia
0,1.03,1.59,3.09,6.75,1.26,0.69,0.75,1.29,1.0,0.79,3.0,1.95,1.2,1.99,1.03,0.27,1.03,0.24,3.2,1.94
1,1.06,1.59,3.37,6.84,1.95,0.99,0.75,1.35,1.0,0.85,3.1,2.05,1.45,2.09,1.06,0.32,1.06,0.26,3.2,1.99
2,1.13,1.65,3.74,7.2,2.1,1.29,0.9,1.39,1.0,0.85,3.19,2.05,1.9,2.55,1.13,0.39,1.13,0.3,3.3,2.49
3,1.17,1.65,5.19,7.2,2.4,1.55,0.9,1.65,1.0,0.89,3.35,2.1,2.5,2.55,1.17,0.57,1.17,0.33,3.3,2.55
4,1.2,1.69,5.88,7.42,2.65,1.8,1.0,1.95,1.0,0.95,3.55,2.15,2.75,3.15,1.2,0.59,1.2,0.36,3.8,2.59
5,1.2,1.69,6.18,7.65,2.8,1.99,1.0,2.05,1.01,0.95,3.7,2.4,3.2,3.89,1.2,0.64,1.2,0.42,3.8,2.69
