,price lacteo mercadona,price lacteo carrefour,price carnico mercadona,price carnico carrefour,price huevo mercadona,price huevo carrefour,price lenteja mercadona,price lenteja carrefour,price avena mercadona,price avena carrefour,price miel mercadona,price miel carrefour,price aceite girasol mercadona,price aceite girasol carrefour,price tomate mercadona,price tomate carrefour,price banana mercadona,price banana carrefour,price cafe mercadona,price cafe carrefour
0,1.03,0.99,3.09,4.49,1.26,1.39,0.75,0.9,1.0,1.06,3.0,3.85,1.2,1.59,1.03,1.25,1.03,0.6,3.2,2.05
1,1.06,1.05,3.37,4.69,1.95,1.59,0.75,0.9,1.0,1.06,3.1,4.29,1.45,1.79,1.06,1.25,1.06,0.69,3.2,2.19
2,1.13,1.09,3.74,5.05,2.1,1.65,0.9,0.92,1.0,1.09,3.19,4.46,1.9,1.79,1.13,1.25,1.13,0.85,3.3,2.28
3,1.17,1.14,5.19,5.56,2.4,1.8,0.9,0.99,1.0,1.09,3.35,4.5,2.5,1.83,1.17,1.35,1.17,1.05,3.3,2.38
4,1.2,1.2,5.88,5.85,2.65,2.09,1.0,1.0,1.0,1.17,3.55,4.6,2.75,1.83,1.2,1.35,1.2,1.15,3.8,2.65
5,1.2,1.25,6.18,5.99,2.8,2.15,1.0,1.0,1.01,1.17,3.7,4.8,3.2,3.59,1.2,1.35,1.2,1.25,3.8,2.7
